id,cfdi_id,total_impuestos_trasladados,total_impuestos_retenidos,created_at,updated_at
88,124,263.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
89,127,932.670000,,2026-01-15 20:59:52,2026-01-15 20:59:52
90,129,2815.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
91,130,236.640000,,2026-01-15 20:59:52,2026-01-15 20:59:52
92,131,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
93,132,46.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
94,133,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
95,134,69.360000,,2026-01-15 20:59:52,2026-01-15 20:59:52
96,135,447.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
97,136,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
98,137,263.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
99,138,187.040000,,2026-01-15 20:59:52,2026-01-15 20:59:52
100,140,2207.920000,,2026-01-15 20:59:52,2026-01-15 20:59:52
101,143,689.660000,,2026-01-15 20:59:52,2026-01-15 20:59:52
102,144,14045.000000,,2026-01-15 20:59:52,2026-01-15 20:59:52
103,145,1845.440000,1230.290000,2026-01-15 20:59:52,2026-01-15 20:59:52
104,146,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
105,147,1439.680000,,2026-01-15 20:59:52,2026-01-15 20:59:52
106,148,838.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
107,149,383.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
108,150,2815.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
109,153,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
110,154,263.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
111,155,84.640000,,2026-01-15 20:59:52,2026-01-15 20:59:52
112,156,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
113,157,623.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
114,158,84.640000,,2026-01-15 20:59:52,2026-01-15 20:59:52
115,159,122.880000,,2026-01-15 20:59:52,2026-01-15 20:59:52
116,160,84.640000,,2026-01-15 20:59:52,2026-01-15 20:59:52
117,161,27.740000,,2026-01-15 20:59:52,2026-01-15 20:59:52
118,162,190.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
119,166,263.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
120,167,44.640000,,2026-01-15 20:59:52,2026-01-15 20:59:52
121,168,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
122,169,741.100000,,2026-01-15 20:59:52,2026-01-15 20:59:52
123,170,4415.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
124,171,263.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
125,172,263.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
126,173,535.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
127,174,122.880000,,2026-01-15 20:59:52,2026-01-15 20:59:52
128,175,6911.040000,,2026-01-15 20:59:52,2026-01-15 20:59:52
129,176,263.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
130,177,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
131,190,0.000000,,2026-01-15 20:59:52,2026-01-15 20:59:52
132,203,655.030000,,2026-01-15 20:59:52,2026-01-15 20:59:52
133,205,383.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
134,207,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
135,208,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
136,209,623.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
137,210,80446.110000,,2026-01-15 20:59:52,2026-01-15 20:59:52
138,211,263.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
139,212,180.830000,,2026-01-15 20:59:52,2026-01-15 20:59:52
140,213,400.000000,31.250000,2026-01-15 20:59:52,2026-01-15 20:59:52
141,214,196.390000,,2026-01-15 20:59:52,2026-01-15 20:59:52
142,215,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
143,217,2207.920000,,2026-01-15 20:59:52,2026-01-15 20:59:52
144,218,46.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
145,219,535.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
146,220,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
147,221,319.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
148,224,3647.680000,,2026-01-15 20:59:52,2026-01-15 20:59:52
149,226,263.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
150,227,166.930000,,2026-01-15 20:59:52,2026-01-15 20:59:52
151,228,319.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
152,229,90.760000,,2026-01-15 20:59:52,2026-01-15 20:59:52
153,230,199.720000,,2026-01-15 20:59:52,2026-01-15 20:59:52
154,231,993.790000,,2026-01-15 20:59:52,2026-01-15 20:59:52
155,232,108.280000,,2026-01-15 20:59:52,2026-01-15 20:59:52
156,234,187.040000,,2026-01-15 20:59:52,2026-01-15 20:59:52
157,235,623.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
158,236,263.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
159,237,447.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
160,238,84.640000,,2026-01-15 20:59:52,2026-01-15 20:59:52
161,239,46.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
162,240,84.640000,,2026-01-15 20:59:52,2026-01-15 20:59:52
163,241,420.480000,,2026-01-15 20:59:52,2026-01-15 20:59:52
164,242,1296.000000,,2026-01-15 20:59:52,2026-01-15 20:59:52
165,243,6673.600000,,2026-01-15 20:59:52,2026-01-15 20:59:52
166,244,535.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
167,245,447.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
168,246,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
169,247,119.260000,79.510000,2026-01-15 20:59:52,2026-01-15 20:59:52
170,248,84.640000,,2026-01-15 20:59:52,2026-01-15 20:59:52
171,249,319.840000,,2026-01-15 20:59:52,2026-01-15 20:59:52
172,250,150.240000,,2026-01-15 20:59:52,2026-01-15 20:59:52
173,251,150.240000,,2026-01-15 20:59:53,2026-01-15 20:59:53
174,252,150.240000,,2026-01-15 20:59:53,2026-01-15 20:59:53
175,253,46.240000,,2026-01-15 20:59:53,2026-01-15 20:59:53
176,255,46.240000,,2026-01-15 20:59:53,2026-01-15 20:59:53
177,257,10201.290000,,2026-01-15 20:59:53,2026-01-15 20:59:53
178,258,838.240000,,2026-01-15 20:59:53,2026-01-15 20:59:53
179,259,825.120000,,2026-01-15 20:59:53,2026-01-15 20:59:53
