id,cfdi_id,clave_prod_serv,no_identificacion,cantidad,clave_unidad,unidad,descripcion,valor_unitario,importe,descuento,objeto_impuesto,metadata,created_at,updated_at
138,132,43231600,CSF25,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 25 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,289.000000,289.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
139,133,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
140,134,43231600,CWB-AD,50.000000,E48,SERVICIO,50 transacciones adicionales para el servicio CSWEB,8.670000,433.50,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
141,135,43231600,CSRA01,1.000000,E48,SERVICIO,"Servicio de descarga masiva y programada de CFDIs: RFCs Ilimitados - 25,000 Descargas CIEC - 2 Equipos - Anual",2799.000000,2799.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
142,136,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
143,137,43231600,CSF03,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 300 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,1649.000000,1649.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
144,138,43231600,CSRN01,1.000000,E48,SERVICIO,"Servicio de descarga masiva de CFDIs: 3 RFCs - 10,000 Descargas CIEC - 2 Equipos - Anual",1169.000000,1169.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
145,139,84111506,"",1.000000,ACT,"",Pago,0.000000,0.00,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
146,140,43231600,CRAPI02,1.000000,E48,SERVICIO,Costo anual por el servicio de descarga masiva de CFDIs a traves de API: RFCs ilimitados - 1 000 000 Descargas - Descarga con CIEC,13799.500000,13799.50,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
147,141,84111506,"",1.000000,ACT,"",Pago,0.000000,0.00,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
148,142,84111506,"",1.000000,ACT,"",Pago,0.000000,0.00,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
149,143,84111506,"",1.000000,ACT,Servicio,Prepago de servicios de anuncios de Google,4310.340000,4310.34,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
150,144,80141600,M173,1.000000,E48,"",Generación de reportes de análisis predictivo mediante Business Intelligence para proyectar ventas y comportamiento del mercado.,87781.250000,87781.25,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
151,145,80141600,Facturas,1.000000,E48,Servicios,Comisiones correspondientes  al mes de diciembre 2025.,11534.000000,11534.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
152,146,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
153,147,43231600,CSRFC00,1.000000,E48,SERVICIO,Costo por el servicio de la API de la Validacion de un RFC ante el SAT RFCs Ilimitados - Transacciones ilimitadas,4499.000000,4499.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
154,147,43231600,CVRFC00,1.000000,E48,SERVICIO,Costo por el servicio de la API de la Validacion de Datos Fiscales ante el SAT RFCs Ilimitados - Transacciones ilimitadas,4499.000000,4499.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
155,148,43231600,CSRA02,1.000000,E48,SERVICIO,"Servicio de descarga masiva y programada de CFDIs: RFCs Ilimitados - 100,000 Descargas CIEC - 3 Equipos - Anual",5239.000000,5239.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
156,149,43231600,CSRN08,1.000000,E48,SERVICIO,"Servicio de descarga masiva de CFDIs: RFCs Ilimitados - 40,000 Descargas CIEC - 2 Equipos - Anual",2399.000000,2399.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
157,150,43231600,CSRA04,1.000000,E48,SERVICIO,"Servicio de descarga masiva y programada de CFDIs: RFCs Ilimitados - 400,000 Descargas CIEC - Descargas con e.firma - 4 Equipos - Anual",17599.000000,17599.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
158,151,84111506,"",1.000000,ACT,"",Pago,0.000000,0.00,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
159,152,84111506,"",1.000000,ACT,"",Pago,0.000000,0.00,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
160,153,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
161,154,43231600,CSF03,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 300 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,1649.000000,1649.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
162,155,43231600,CSF50,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 50 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,529.000000,529.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
163,156,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
164,157,43231600,CSRN03,1.000000,E48,SERVICIO,"Servicio de descarga masiva de CFDIs: RFCs Ilimitados - 100,000 Descargas CIEC - 3 Equipos - Anual",3899.000000,3899.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
165,158,43231600,CSF50,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 50 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,529.000000,529.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
166,159,43231600,CWB-AD,100.000000,E48,SERVICIO,100 transacciones adicionales para el servicio CSWEB,7.680000,768.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
167,160,43231600,CSF50,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 50 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,529.000000,529.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
168,161,43231600,CWB-AD,20.000000,E48,SERVICIO,20 transacciones adicionales para el servicio CSWEB,8.670000,173.40,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
169,162,81112106,"",1.000000,E48,Servicio,"Comunicación Empresarial 1,900 minutos 12-01-2026 - 12-02-2026",1189.000000,1189.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
170,163,84111506,"",1.000000,ACT,"",Pago,0.000000,0.00,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
171,164,84111505,"",1.000000,ACT,"",Pago de nómina,2687.200000,2687.20,265.80,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
172,165,84111505,"",1.000000,ACT,"",Pago de nómina,1575.200000,1575.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
173,166,43231600,CSF03,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 300 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,1649.000000,1649.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
174,167,43231600,CSF25,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 25 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,279.000000,279.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
175,168,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
176,169,43231600,CPG-AD,7126.000000,E48,SERVICIO,7126 transacciones adicionales para el servicio CSPlug,0.650000,4631.90,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
177,170,43231600,CRAPI02,1.000000,E48,SERVICIO,Costo anual por el servicio de descarga masiva de CFDIs a traves de API: RFCs ilimitados - 1 000 000 Descargas - Descarga con CIEC,27599.000000,27599.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
178,171,43231600,CSF03,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 300 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,1649.000000,1649.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
179,172,43231600,CSF03,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 300 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,1649.000000,1649.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
180,173,43231600,CSF04,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 900 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,3349.000000,3349.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
181,174,43231600,CWB-AD,100.000000,E48,SERVICIO,100 transacciones adicionales para el servicio CSWEB,7.680000,768.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
182,175,43231600,CST12,1.000000,E48,SERVICIO,Servicio de interconexion sistemas-sistema a traves de archivos TXT/XML para la generacion de CFDI a partir de tickets,17999.000000,17999.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
183,175,43231600,CSP02,1.000000,E48,SERVICIO,Cargo anual por servicio de interconexion sistema-sistema a traves de archivos TXT para generacion de CFDIs.,17999.000000,17999.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
184,175,43231600,CPG,4.000000,E48,SERVICIO,RFC ADICIONAL,1799.000000,7196.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
185,176,43231600,CSF03,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 300 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,1649.000000,1649.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
186,177,43231600,CSF02,1.000000,E48,SERVICIO,Servicio de emision de facturas a traves del portal web: 100 CFDIs - Anual - Almacenamiento de las facturas por 5 anios - Soporte Tecnico,939.000000,939.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
187,178,84111505,"",1.000000,ACT,"",Pago de nómina,2687.130000,2687.13,265.93,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
188,179,84111505,"",1.000000,ACT,"",Pago de nómina,3435.570000,3435.57,375.57,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
189,180,84111505,"",1.000000,ACT,"",Pago de nómina,4219.780000,4219.78,531.38,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
190,181,84111505,"",1.000000,ACT,"",Pago de nómina,2509.200000,2509.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
191,182,84111505,"",1.000000,ACT,"",Pago de nómina,2509.200000,2509.20,433.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
192,183,84111505,"",1.000000,ACT,"",Pago de nómina,2509.200000,2509.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
193,184,84111505,"",1.000000,ACT,"",Pago de nómina,3435.570000,3435.57,375.57,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
194,185,84111505,"",1.000000,ACT,"",Pago de nómina,2509.200000,2509.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
195,186,84111505,"",1.000000,ACT,"",Pago de nómina,2798.280000,2798.28,705.88,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
196,187,84111505,"",1.000000,ACT,"",Pago de nómina,2509.200000,2509.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
197,188,84111505,"",1.000000,ACT,"",Pago de nómina,3435.570000,3435.57,375.17,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
198,189,84111505,"",1.000000,ACT,"",Pago de nómina,2509.200000,2509.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
199,190,25191605,010101,1.000000,H87,prueba,Concepto sin impuestos,1.000000,1.00,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
200,191,84111505,"",1.000000,ACT,"",Pago de nómina,1575.200000,1575.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
201,192,84111505,"",1.000000,ACT,"",Pago de nómina,1908.650000,1908.65,197.85,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
202,193,84111505,"",1.000000,ACT,"",Pago de nómina,2344.300000,2344.30,271.90,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
203,194,84111505,"",1.000000,ACT,"",Pago de nómina,1575.200000,1575.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
204,195,84111505,"",1.000000,ACT,"",Pago de nómina,1575.310000,1575.31,248.71,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
206,197,84111505,"",1.000000,ACT,"",Pago de nómina,1908.780000,1908.78,197.78,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
207,198,84111505,"",1.000000,ACT,"",Pago de nómina,1575.200000,1575.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
208,199,84111505,"",1.000000,ACT,"",Pago de nómina,1575.200000,1575.20,244.20,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
209,200,84111505,"",1.000000,ACT,"",Pago de nómina,1575.200000,1575.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
210,201,84111505,"",1.000000,ACT,"",Pago de nómina,1908.750000,1908.75,197.55,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
211,202,84111505,"",1.000000,ACT,"",Pago de nómina,1575.200000,1575.20,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
212,203,43231600,CSRN03,1.000000,E48,SERVICIO,"Servicio de descarga masiva de CFDIs: RFCs Ilimitados - 100,000 Descargas CIEC - 3 Equipos - Anual",4093.950000,4093.95,0.00,02,,2026-01-15 20:59:51,2026-01-15 20:59:51
213,204,84111506,"",1.000000,ACT,"",Pago,0.000000,0.00,0.00,01,,2026-01-15 20:59:51,2026-01-15 20:59:51
