id,cfdi_id,tipo_relacion,uuid_relacionado,cfdi_relacionado_id,created_at,updated_at
1,2,07,8271d651-db6a-11f0-830a-917cfca7affd,,2026-01-15 20:59:52,2026-01-15 20:59:52
2,2,07,b21f5c32-d607-11f0-9de1-2dfb29678a98,,2026-01-15 20:59:52,2026-01-15 20:59:52
3,2,07,7a89e5a0-e1ab-11f0-a368-c3a118f10fc8,,2026-01-15 20:59:52,2026-01-15 20:59:52
4,4,07,6d7e7012-e72e-11f0-aa6a-23eaad5c03f1,2,2026-01-15 20:59:52,2026-01-15 20:59:52
5,5,07,6d7e7012-e72e-11f0-aa6a-23eaad5c03f1,2,2026-01-15 20:59:52,2026-01-15 20:59:52
6,6,07,6d7e7012-e72e-11f0-aa6a-23eaad5c03f1,2,2026-01-15 20:59:52,2026-01-15 20:59:52
