id,cfdi_concepto_impuestos_id,base,impuesto,tipo_factor,tasa_o_cuota,importe,created_at,updated_at
52,52,289.000000,002,Tasa,0.160000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
53,53,2098.950000,002,Tasa,0.160000,335.832000,2026-01-15 20:59:52,2026-01-15 20:59:52
54,54,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
55,55,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
56,56,52597.320000,002,Tasa,0.160000,8415.571200,2026-01-15 20:59:52,2026-01-15 20:59:52
57,57,8250.000000,002,Tasa,0.160000,1320.000000,2026-01-15 20:59:52,2026-01-15 20:59:52
58,58,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
59,59,3349.000000,002,Tasa,0.160000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
60,60,1814.000000,002,Tasa,0.160000,290.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
61,61,11085.050000,002,Tasa,0.160000,1773.610000,2026-01-15 20:59:52,2026-01-15 20:59:52
62,62,529.000000,002,Tasa,0.160000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
63,63,1999.000000,002,Tasa,0.160000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
64,64,289.000000,002,Tasa,0.160000,46.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
65,65,3899.000000,002,Tasa,0.160000,623.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
66,66,3085.890000,002,Tasa,0.160000,493.742400,2026-01-15 20:59:52,2026-01-15 20:59:52
67,67,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
68,68,1169.000000,002,Tasa,0.160000,187.040000,2026-01-15 20:59:52,2026-01-15 20:59:52
69,69,33599.000000,002,Tasa,0.160000,5375.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
70,70,1638.000000,002,Tasa,0.160000,262.080000,2026-01-15 20:59:52,2026-01-15 20:59:52
71,71,17999.000000,002,Tasa,0.160000,2879.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
72,72,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
73,73,3288.790000,002,Tasa,0.160000,526.206400,2026-01-15 20:59:52,2026-01-15 20:59:52
74,74,3288.790000,002,Tasa,0.160000,526.206400,2026-01-15 20:59:52,2026-01-15 20:59:52
75,75,768.000000,002,Tasa,0.160000,122.880000,2026-01-15 20:59:52,2026-01-15 20:59:52
76,76,1999.000000,002,Tasa,0.160000,319.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
77,77,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
78,78,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
79,79,4093.950000,002,Tasa,0.160000,655.032000,2026-01-15 20:59:52,2026-01-15 20:59:52
80,80,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
81,81,1169.000000,002,Tasa,0.160000,187.040000,2026-01-15 20:59:52,2026-01-15 20:59:52
82,82,3349.000000,002,Tasa,0.160000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
83,83,529.000000,002,Tasa,0.160000,84.640000,2026-01-15 20:59:52,2026-01-15 20:59:52
84,84,1649.000000,002,Tasa,0.160000,263.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
85,85,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
86,86,939.000000,002,Tasa,0.160000,150.240000,2026-01-15 20:59:52,2026-01-15 20:59:52
87,87,3349.000000,002,Tasa,0.160000,535.840000,2026-01-15 20:59:52,2026-01-15 20:59:52
88,88,13859.000000,002,Tasa,0.160000,2217.440000,2026-01-15 20:59:52,2026-01-15 20:59:52
