id,cfdi_concepto_impuestos_id,base,impuesto,tipo_factor,tasa_o_cuota,importe,created_at,updated_at
1,34,1504.000000,002,Tasa,0.106666,160.425664,2026-01-15 20:59:52,2026-01-15 20:59:52
2,109,11534.000000,002,Tasa,0.106666,1230.285644,2026-01-15 20:59:52,2026-01-15 20:59:52
3,176,2500.000000,001,Tasa,0.012500,31.250000,2026-01-15 20:59:52,2026-01-15 20:59:52
4,219,745.400000,002,Tasa,0.106666,79.508836,2026-01-15 20:59:52,2026-01-15 20:59:52
